"By Administrative District","Item","UNIT","2020.01 Month","2020.02 Month","2020.03 Month","2020.04 Month","2020.05 Month","2020.06 Month","2020.07 Month","2020.08 Month","2020.09 Month","2020.10 Month","2020.11 Month","2020.12 Month","2021.01 Month","2021.02 Month","2021.03 Month","2021.04 Month","2021.05 Month","2021.06 Month","2021.07 Month","2021.08 Month","2021.09 Month","2021.10 Month","2021.11 Month","2021.12 Month","2022.01 Month","2022.02 Month","2022.03 Month","2022.04 Month","2022.05 Month","2022.06 Month","2022.07 Month","2022.08 Month","2022.09 Month","2022.10 Month","2022.11 Month","2022.12 Month","2023.01 Month","2023.02 Month","2023.03 Month","2023.04 Month","2023.05 Month","2023.06 Month","2023.07 Month","2023.08 Month","2023.09 Month","2023.10 Month","2023.11 Month","2023.12 Month","2024.01 Month","2024.02 Month","2024.03 Month","2024.04 Month","2024.05 Month","2024.06 Month","2024.07 Month","2024.08 Month","2024.09 Month","2024.10 Month","2024.11 Month","2024.12 Month","2025.01 Month","2025.02 Month","2025.03 Month","2025.04 Month","2025.05 Month","2025.06 Month","2025.07 Month","2025.08 Month","2025.09 Month","2025.10 Month","2025.11 Month",
"Cheoin-gu","Household[Household]","Household","107785","108118","108410","108642","109071","109557","110040","110394","110693","110905","111228","111684","112092","112487","112565","113158","113517","113988","114398","114754","114872","114996","114975","115048","115045","115223","115334","115586","115873","116096","116319","116586","116264","116052","115754","115654","115637","115678","115900","116460","117170","117696","118115","118475","118342","118160","117940","117863","118052","118794","119256","120314","121483","122012","122630","123048","123922","124434","124319","125043","125553","126525","127114","127694","128340","128707","128982","130082","129925","129733","129389",
"Giheung-gu","Household[Household]","Household","165355","166028","166648","167214","167765","168279","168657","168917","169157","169309","169543","169979","170323","170606","170653","170837","171169","171279","171912","172725","173275","173654","173848","173844","173910","174199","174387","174238","174296","174438","174462","174529","174268","174355","174334","174294","174293","174289","174197","174195","174037","174206","174351","174353","174356","174435","174622","174971","175801","175939","176106","176021","176161","176360","176463","176538","176429","176320","176267","176278","176180","176210","176289","176283","176311","176400","176473","176852","176850","176900","177051",
"Suji-gu","Household[Household]","Household","135054","135746","136128","136827","137296","137655","138199","138466","138621","138682","138742","138856","139072","139575","139743","140029","140217","140312","140378","140684","140672","140633","140622","140600","140632","140705","140913","141001","141176","141525","141829","142029","142040","142144","142190","142203","142291","142509","142534","142577","142558","142621","142676","142671","142736","142617","142528","142506","142523","142637","142603","142535","142456","142431","142423","142453","142428","142445","142388","142381","142536","142715","142791","142760","142820","142832","142834","142759","142746","142657","142544",
"Paju-si","Household[Household]","Household","191780","191890","192385","192716","193249","193902","194725","196157","197536","198536","199377","200270","200969","201977","202279","203450","204329","205132","206202","207632","208777","209651","211030","211916","212684","213303","213810","214270","214626","215138","215606","216236","216844","217630","218179","218264","218364","218787","219398","219634","219726","219753","219810","219797","219876","220030","220146","220158","221066","222318","222965","223565","223866","224163","224601","224900","225071","225233","225621","226094","226886","227517","227971","228470","228891","229612","230534","230952","231536","232096","232475",
"Icheon-si","Household[Household]","Household","92902","93178","93738","94112","95030","96059","96643","97350","97440","97598","97771","96799","97003","97283","97262","97890","98251","99598","100311","101235","101740","102135","101910","101417","101315","101287","101499","101688","102101","103170","103842","104066","103873","103842","102963","102618","102517","102612","102774","103063","103284","104186","104749","104919","104889","104933","104222","103793","103666","103720","103913","104176","104540","105489","106021","106561","106565","106483","105819","105615","105601","105724","105878","106242","106331","106884","107548","108036","107739","107664","107126",
"Anseong-si","Household[Household]","Household","81761","81999","82511","82794","83178","83543","83780","84257","84772","85138","85477","85839","86089","86429","86498","86788","87372","87765","87969","88320","88679","88782","88939","89118","89219","89392","89626","89743","90014","90133","90194","90235","90117","90122","90027","89951","89896","90055","90172","90305","90611","90820","90920","91110","91108","90990","90939","91026","91329","91973","92341","92643","92949","93260","93701","94190","94334","94494","94630","94809","94852","95420","95559","95871","96037","96276","96706","97042","97034","96989","97036",
"Gimpo-si","Household[Household]","Household","175008","175827","177491","178668","179727","181013","182608","185741","188308","189990","191225","193234","194667","195704","196317","197247","197885","198471","198895","199379","199838","200230","200502","200846","201009","201192","201184","201221","201352","201595","201709","201830","201734","201990","202095","202189","202441","202642","202844","202985","203362","203888","204179","204350","204388","204454","204551","204594","204724","204935","205085","205111","205354","205574","205702","205868","205924","206071","206253","206388","206362","206362","206422","206441","206537","206556","206573","206580","206703","206858","207084",
"Hwaseong-si","Household[Household]","Household","329346","331289","333688","335727","337533","339150","340771","343103","345685","347748","349913","351924","353616","355323","356761","359359","361285","362941","364392","366147","367918","369284","371115","372888","373758","375084","376287","377376","379119","380241","381316","382231","382684","384777","386414","387820","389484","391705","393577","395031","396653","397693","398820","399634","401027","402180","403190","404623","405653","406844","407884","408571","409113","409777","411307","412269","413884","415432","416185","417136","418695","420651","421724","422160","422623","423467","424587","425729","426754","427446","427785",
"Hwaseong-si dongbu branch office","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Hwaseong-si dongtan branch office","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Gwangju-si","Household[Household]","Household","157357","157865","158469","158741","159719","160437","161473","162235","162979","163408","163898","164320","164602","164928","164789","165219","165450","165676","165915","166446","166840","166969","167158","167673","167924","168161","168466","168953","169362","169730","170047","170500","170609","170700","170655","170497","170414","170359","170413","170331","170514","170810","171063","171094","171088","170992","170830","170845","171127","171404","171683","171889","172038","172209","172776","173278","173857","174512","174813","174806","174796","174879","174986","175092","175302","175550","175726","175867","175877","175865","175809",
"Yangju-si","Household[Household]","Household","93156","93333","93895","94279","94689","95348","96334","96907","97235","97666","97874","97998","98470","99347","100014","100545","100776","101150","101299","101527","101796","101997","102149","102314","102426","102588","102620","102688","102838","103475","103834","104307","104514","104723","105431","106361","107235","108595","109674","110460","111817","113372","114407","115083","115625","116240","116773","117518","118220","119570","121093","121968","122862","123701","124746","125721","126535","127242","127840","128336","128640","128982","129197","129718","130089","130381","130775","131124","131602","131873","132251",
